acronym,full_name,description
CNA,Certified Novell Administrator,
CNE,Certified Novell Engineer,
CLSA,Certified LAN Server Administrator,
CLSE,Certified LAN Server Engineer,
MCSA,Microsoft Certified Systems Administrator,
MCSE,Microsoft Certified Systems Engineer,
MCP,Microsoft Certified Professional,+ Internet
MCTS,Microsoft Certified Technology Specialist,
MCITP,Microsoft Certified IT Professional,
CCENT,Cisco Certified Entry Networking Technician,
CCNA,Cisco Certified Network Associate,
CISSP,Certified Information Systems Security Professional,
